headline,sentiment_label,sentiment_score
UNC refuses to blame lane violation for costly loss - ESPN,NEGATIVE,0.9655805230140686
"ISIS chief in Iraq and Syria has been killed, Iraqi prime minister says - CNN",NEGATIVE,0.994384765625
Injunction lifted on Trump executive orders slashing federal DEI support - Fox News,NEGATIVE,0.9952577948570251
"SpaceX’s Crew-10 launches, paving the way for NASA’s Wilmore and Williams to return home - CNN",POSITIVE,0.9965883493423462
‘Snow White’ Actor Responds to Disney Movie’s Premiere Pivot: “They’re Afraid” - Hollywood Reporter,POSITIVE,0.792259931564331
US government shutdown averted as Senate passes spending bill - BBC.com,NEGATIVE,0.9913716316223145
Seahawks Agree To Terms With Super Bowl MVP Receiver Cooper Kupp - Seahawks.com,POSITIVE,0.9963022470474243
"Gene Hackman's dog likely died of starvation and dehydration, necropsy report finds - ABC7 Los Angeles",NEGATIVE,0.9988380074501038
"No, Russia Has Not Surrounded Thousands Of Ukrainian Troops In Kursk - Forbes",NEGATIVE,0.9484536647796631
"H5N1 bird flu virus is infectious in raw milk cheese for months, posing risk to public health, study shows - CNN",NEGATIVE,0.9949630498886108
"Free Agency Roundup: Fowler returns, Sanders and more officially sign - DallasCowboys.com",POSITIVE,0.9225143790245056
"Donald Trump, In DOJ Speech, Calls CNN And MSNBC ""Illegal"" For Reporting Negatively On Him - Deadline",NEGATIVE,0.999011754989624
"US measles cases reach 5-year high; 15 states report cases, Texas outbreak grows - Ars Technica",NEGATIVE,0.9805082678794861
"2025 NFL free agency: Notable signings, trades by position; Geno Smith, DK Metcalf, Evan Engram headline list - CBS Sports",POSITIVE,0.6267861723899841
Everything you say to your Echo will be sent to Amazon starting on March 28 - Ars Technica,NEGATIVE,0.9970265030860901
Prospect of Ukraine ceasefire still uncertain despite Trump's optimism - BBC.com,NEGATIVE,0.9967970252037048
"Cannes Film Festival Starts to Take Shape: Spike Lee, Wes Anderson, Kristen Stewart, Jim Jarmusch, Ari Aster, Richard Linklater Vying for Competition Slots - Variety",POSITIVE,0.9960727691650391
Google is replacing Google Assistant with Gemini - TechCrunch,NEGATIVE,0.9983527660369873
